               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.079383,              1.0815,             0.01709,             0.28645,            0.057441,            0.022235,           0.0050929,            0.092284,              1.3241,            0.016363,             0.00889,             0.00889,             0.00889
                  39,            0.080125,              1.0849,            0.017344,             0.28645,            0.057441,            0.022235,           0.0050929,            0.092284,              1.3241,            0.016363,             0.00886,             0.00886,             0.00886
                  40,            0.079256,              1.1212,             0.01687,             0.64799,             0.13796,             0.11875,            0.024627,             0.08834,              1.3229,            0.016404,             0.00883,             0.00883,             0.00883
                  41,            0.079768,              1.2132,             0.01903,             0.64799,             0.13796,             0.11875,            0.024627,             0.08834,              1.3229,            0.016404,              0.0088,              0.0088,              0.0088
                  42,            0.078795,              1.2006,            0.016965,            0.062792,            0.099436,            0.049718,            0.012451,            0.083707,              1.1657,            0.015809,             0.00877,             0.00877,             0.00877
                  43,            0.075103,              1.0536,              0.0179,            0.062792,            0.099436,            0.049718,            0.012451,            0.083707,              1.1657,            0.015809,             0.00874,             0.00874,             0.00874
                  44,            0.074146,              1.0371,            0.016717,            0.062792,            0.099436,            0.049718,            0.012451,            0.083707,              1.1657,            0.015809,             0.00871,             0.00871,             0.00871
                  45,            0.076347,              1.1683,            0.019031,             0.29305,            0.068095,            0.026636,           0.0059356,            0.089462,              1.2264,            0.016048,             0.00868,             0.00868,             0.00868
                  46,            0.076252,              1.1947,            0.016105,             0.29305,            0.068095,            0.026636,           0.0059356,            0.089462,              1.2264,            0.016048,             0.00865,             0.00865,             0.00865
                  47,            0.075962,              1.1859,            0.016281,            0.059105,            0.092503,            0.041915,            0.011013,            0.085591,              1.1593,            0.015934,             0.00862,             0.00862,             0.00862
                  48,            0.072782,             0.98725,            0.016128,            0.059105,            0.092503,            0.041915,            0.011013,            0.085591,              1.1593,            0.015934,             0.00859,             0.00859,             0.00859
                  49,            0.072544,             0.99889,            0.016256,            0.059105,            0.092503,            0.041915,            0.011013,            0.085591,              1.1593,            0.015934,             0.00856,             0.00856,             0.00856
                  50,            0.073991,              1.0594,            0.016006,             0.14779,              0.1459,             0.14637,            0.032551,            0.080326,               1.251,            0.014986,             0.00853,             0.00853,             0.00853
                  51,            0.074303,              1.0897,            0.015634,             0.14779,              0.1459,             0.14637,            0.032551,            0.080326,               1.251,            0.014986,              0.0085,              0.0085,              0.0085
                  52,            0.073501,              1.1016,            0.016002,             0.35799,             0.15552,              0.2374,            0.049009,            0.073439,              1.2315,            0.015132,             0.00847,             0.00847,             0.00847
                  53,             0.06748,              1.0326,            0.016015,             0.35799,             0.15552,              0.2374,            0.049009,            0.073439,              1.2315,            0.015132,             0.00844,             0.00844,             0.00844
                  54,            0.067364,              1.0354,            0.015915,             0.35799,             0.15552,              0.2374,            0.049009,            0.073439,              1.2315,            0.015132,             0.00841,             0.00841,             0.00841
                  55,             0.07016,              1.1089,            0.016733,             0.34634,             0.14352,            0.096541,            0.029463,            0.072579,              1.1826,            0.014983,             0.00838,             0.00838,             0.00838
                  56,            0.067173,              1.0361,              0.0156,             0.34634,             0.14352,            0.096541,            0.029463,            0.072579,              1.1826,            0.014983,             0.00835,             0.00835,             0.00835
                  57,            0.066834,               1.037,            0.015506,             0.59109,             0.14278,             0.16023,            0.035431,            0.071254,               1.169,            0.014832,             0.00832,             0.00832,             0.00832
                  58,            0.066032,              1.0169,            0.017771,             0.59109,             0.14278,             0.16023,            0.035431,            0.071254,               1.169,            0.014832,             0.00829,             0.00829,             0.00829
                  59,            0.065294,             0.98947,            0.015719,             0.59109,             0.14278,             0.16023,            0.035431,            0.071254,               1.169,            0.014832,             0.00826,             0.00826,             0.00826
                  60,            0.066348,              1.0028,            0.016171,             0.32761,             0.12328,            0.065347,            0.019368,            0.070658,              1.2839,            0.015691,             0.00823,             0.00823,             0.00823
                  61,            0.066264,             0.99936,            0.015918,             0.32761,             0.12328,            0.065347,            0.019368,            0.070658,              1.2839,            0.015691,              0.0082,              0.0082,              0.0082
                  62,             0.06545,             0.99622,            0.015874,             0.35359,             0.16263,             0.10504,            0.027901,            0.069652,              1.3286,            0.014631,             0.00817,             0.00817,             0.00817
                  63,            0.062524,             0.97229,            0.015746,             0.35359,             0.16263,             0.10504,            0.027901,            0.069652,              1.3286,            0.014631,             0.00814,             0.00814,             0.00814
