               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.061608,             0.87458,            0.020065,             0.12233,             0.16581,            0.087876,            0.027965,            0.074217,              1.1655,            0.021946,           0.0091257,           0.0091257,           0.0091257
                  36,            0.061463,             0.86126,            0.019874,             0.10076,             0.18452,            0.078676,            0.023552,            0.070785,             0.97668,            0.021807,              0.0091,              0.0091,              0.0091
                  37,            0.060312,             0.79235,            0.019865,             0.10076,             0.18452,            0.078676,            0.023552,            0.070785,             0.97668,            0.021807,           0.0090743,           0.0090743,           0.0090743
                  38,            0.066571,             0.85493,            0.019887,            0.098025,             0.12612,            0.061986,            0.019703,            0.083287,              1.2746,            0.022076,           0.0090486,           0.0090486,           0.0090486
                  39,            0.067066,             0.82462,            0.019767,             0.13322,             0.19655,             0.11943,            0.047725,            0.074828,             0.90419,            0.021908,           0.0090229,           0.0090229,           0.0090229
                  40,            0.065751,             0.77162,            0.019768,             0.13322,             0.19655,             0.11943,            0.047725,            0.074828,             0.90419,            0.021908,           0.0089971,           0.0089971,           0.0089971
                  41,            0.066002,             0.77879,            0.019772,              0.1759,             0.23514,              0.1556,              0.0611,            0.074163,             0.90784,            0.021167,           0.0089714,           0.0089714,           0.0089714
                  42,             0.06606,             0.82441,            0.019647,            0.068692,             0.12322,            0.045893,             0.01302,            0.080741,              1.0018,            0.020317,           0.0089457,           0.0089457,           0.0089457
                  43,            0.065197,             0.84626,            0.019565,             0.13493,             0.22033,             0.11476,            0.041185,            0.070591,             0.88647,            0.021006,             0.00892,             0.00892,             0.00892
                  44,            0.060689,             0.75992,            0.019515,             0.13493,             0.22033,             0.11476,            0.041185,            0.070591,             0.88647,            0.021006,           0.0088943,           0.0088943,           0.0088943
                  45,            0.061988,             0.80053,            0.019387,             0.12817,             0.20051,              0.1159,              0.0408,            0.073184,             0.97355,             0.02024,           0.0088686,           0.0088686,           0.0088686
                  46,            0.062587,             0.79706,            0.019423,             0.16691,             0.21269,             0.14081,            0.047404,            0.074039,             0.93409,             0.02136,           0.0088429,           0.0088429,           0.0088429
                  47,            0.062962,             0.75919,             0.01952,             0.14734,             0.17232,             0.10752,            0.037267,            0.069434,             0.96982,            0.020395,           0.0088171,           0.0088171,           0.0088171
                  48,            0.058087,             0.75255,            0.019228,             0.14734,             0.17232,             0.10752,            0.037267,            0.069434,             0.96982,            0.020395,           0.0087914,           0.0087914,           0.0087914
                  49,            0.057228,             0.79106,            0.019326,             0.18518,             0.23848,             0.16296,            0.067334,            0.065254,              1.0525,            0.021404,           0.0087657,           0.0087657,           0.0087657
                  50,            0.055822,             0.78757,            0.019297,             0.16806,             0.24129,             0.15468,            0.067356,            0.062627,             0.91355,            0.020369,             0.00874,             0.00874,             0.00874
                  51,            0.054322,             0.73729,            0.019109,             0.16806,             0.24129,             0.15468,            0.067356,            0.062627,             0.91355,            0.020369,           0.0087143,           0.0087143,           0.0087143
